scale_employer_MH,easy_medical_leave,observe_coworker_likelihood,comfortable_discussing_coworkers,has_disorder
3.0,Very easy,No,Yes,1
5.0,Somewhat easy,No,Maybe,0
7.0,Somewhat easy,No,Yes,1
7.0,Somewhat easy,No,Yes,1
4.0,Somewhat difficult,Yes,Maybe,1
8.0,Very easy,No,Yes,1
7.0,Somewhat easy,No,Yes,1
7.0,Very easy,No,Yes,0
5.0,Somewhat difficult,Yes,Maybe,0
5.0,Neither easy nor difficult,No,Yes,0
8.0,Very easy,No,Yes,1
8.0,Very easy,No,No,1
6.0,Very easy,No,Maybe,0
7.0,Very easy,No,Maybe,0
5.0,Neither easy nor difficult,No,Maybe,1
1.0,Somewhat difficult,No,No,1
6.0,Somewhat easy,Maybe,Yes,1
7.0,Somewhat easy,No,Maybe,1
0.0,Very easy,No,Maybe,1
1.0,Somewhat difficult,Maybe,No,0
